subject_id,Subject_name,branch,sem,isViva(0/1),isPrac(0/1),isLab(0/1),isElective(0/1),Credit,Batch_year
CE410,JAVA TECHNOLOGY,CE,4,1,1,1,5,0,2018
CE409,COMPUTER PERIPHERALS,CE,4,1,1,1,0,1,2018
CE414,DESIGN & ANALYSIS OF ALGORITHM,CE,4,1,1,1,0,5,2018
CE415,DISCRETE MATHEMATICS,CE,4,1,1,1,0,5,2018
CE417,COMPUTER SYSTEM ARCHITECTURE,CE,4,1,1,1,0,5,2018
CE418,SOFTWARE ENGINEERING,CE,4,1,1,1,0,5,2018
CE419,SOFTWARE PROJECT,CE,4,1,0,1,0,1,2018
AF410,FINANCIAL & MANAGERIAL ACCOUNTING,IT,4,0,0,0,0,3,2018
AF411,MATHEMATICS - IV,IT,4,0,0,0,0,4,2018
IT402,COMPUTER ORGANIZATION,IT,4,1,1,1,0,5,2018
IT403,MICROPROCESSOR ARCHI. PROGRAMMING & INTERFACING,IT,4,1,1,1,0,5,2018
IT406,DATA STRUCTURES & ALGORITHM,IT,4,1,1,1,0,5,2018
IT407,COMPUTER & COMMUNICATION NETWORK,IT,4,1,1,1,0,5,2018
AF301,MATHEMATICS - III,IT,3,0,0,0,0,4,2018
IT301,DESIGN OF DIGITAL CIRCUITS,IT,3,1,1,1,0,5,2018
IT303,OBJEACT ORIENTED PROGRAMMING,IT,3,1,1,1,0,5,2018
IT304,DISCRETE MATHEMATICS,IT,3,1,1,1,0,5,2018
IT305,COMMUNICATION SYSTEMS,IT,3,1,1,1,0,5,2018
IT306,COMPUTER PERIPHERALS,IT,3,1,1,1,0,3,2018
AF201,MATHEMATICS - II,IT,2,0,0,0,0,4,2018
AF212,ELECTRICAL PRINCIPLES,IT,2,1,1,1,0,5,2018
AF214,MECHANICAL OF SOLIDS,IT,2,1,1,1,0,4,2018
AF215,HEAT POWER,IT,2,1,1,1,0,5,2018
AM210,ENGG. ECO. & PRINCIPLES OF MANAGEMENT,IT,2,0,0,0,0,3,2018
CT215,C PROGRAMMING II,IT,2,1,1,1,0,5,2018
CT217,ELECTRONICS WORKSHOP,IT,2,1,1,1,0,1,2018
AF111,MATHEMATICS I,IT,1,0,0,0,0,4,2018
AF115,ENGINEERING GRAPHICS,IT,1,1,1,1,0,5.5,2018
AF117,ENGINEERING MECHANICS,IT,1,1,1,1,0,4,2018
AF122,BASIC ELECT. & ELECTRO. ENGG,IT,1,1,1,1,0,5,2018
AF136,WORKSHOP - I,IT,1,1,1,1,0,1,2018
CT116,ELE. OF LINUX OS & C PROG-I,IT,1,1,1,1,0,5,2018
ES110,ENVIRONMENTAL SCIENCE,IT,1,0,0,0,0,3,2018
AF115,ENGINEERING GRAPHICS,CE,1,1,1,1,0,5.5,2018
AF117,ENGINEERING MECHANICS,CE,1,1,0,1,0,4,2018
AF122,BASIC ELECT. & ELECTRO. ENGG.,CE,1,1,1,1,0,5,2018
AF136,WORK SHOP-I,CE,1,1,1,1,0,1,2018
AF111,MATHEMATICS-I,CE,1,0,0,0,0,4,2018
CT116,ELE. OF LINUX OS & C PROG.-I,CE,1,1,1,1,0,5,2018
ES110,ENVIRONMENTAL SCIENCE,CE,1,0,0,1,0,3,2018
CT217,ELECTRONICS WORKSHOP,CE,2,1,1,1,0,1,2018
CT215,C PROGRAMMING II,CE,2,1,1,1,0,5,2018
AM210,ENGG.ECO.&PRINCIPLES OF MANAGEMENT,CE,2,0,0,1,0,3,2018
AF215,HEAT POWER,CE,2,1,0,1,0,5,2018
AF214,MECHANICS OF SOLIDS,CE,2,1,0,1,0,4,2018
AF212,ELECTRONICS PRINCIPLES,CE,2,1,1,1,0,5,2018
AF201,MATHEMATICS - II,CE,2,0,0,0,0,4,2018
AF310,FINANCIAL & MANAGERIAL ACCOUNTING,CE,3,0,0,1,0,3,2018
AF301,MATHEMATICS - III,CE,3,0,0,0,0,4,2018
CE308,DESIGN OF DIGITAL CIRCUITS,CE,3,1,1,1,0,5,2018
CE310,DATA STRUCTURES & ALGORITHMS,CE,3,1,1,1,0,5,2018
CE311,OBJECT ORIENTED PROG. WITH JAVA,CE,3,1,1,1,0,5,2018
CE313,DATABASE MANAGEMENT SYSTEM,CE,3,1,0,1,0,5,2018
